criterion,max_depth,min_samples_split,min_samples_leaf,max_features,fold,threshold,accuracy,precision,recall,f1
gini,,2,1,,1,0.1,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,1,0.2,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,1,0.30000000000000004,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,1,0.4,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,1,0.5,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,1,0.6,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,1,0.7000000000000001,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,1,0.8,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,1,0.9,0.8333333333333334,1.0,0.6666666666666666,0.8
gini,,2,1,,2,0.1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,2,0.2,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,2,0.30000000000000004,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,2,0.4,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,2,0.5,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,2,0.6,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,2,0.7000000000000001,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,2,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,2,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
gini,,2,1,,3,0.1,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,3,0.2,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,3,0.30000000000000004,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,3,0.4,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,3,0.5,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,3,0.6,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,3,0.7000000000000001,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,3,0.8,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,3,0.9,0.8888888888888888,1.0,0.7777777777777778,0.875
gini,,2,1,,4,0.1,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,4,0.2,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,4,0.30000000000000004,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,4,0.4,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,4,0.5,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,4,0.6,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,4,0.7000000000000001,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,4,0.8,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,4,0.9,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947
gini,,2,1,,5,0.1,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.625
gini,,2,1,,5,0.2,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.625
