Model,Fold,Accuracy,Precision,Recall,F1,MCC,Parameters
larger KNN,5-fold,0.9004918032786886,0.8714285714285713,0.4288888888888889,0.5375401069518716,0.545645304763493,"{'n_neighbors': 5, 'metric': 'cosine', 'weights': 'distance'}"
larger KNN,3-fold,0.8837623762376238,0.7428571428571429,0.386111111111111,0.5031884057971014,0.4790108392289163,"{'n_neighbors': 3, 'metric': 'cosine', 'weights': 'distance'}"
larger SVM,5-fold,0.910327868852459,0.831111111111111,0.5733333333333334,0.658546365914787,0.6351991480356738,"{'C': 0.01, 'kernel': 'linear'}"
larger SVM,3-fold,0.9035973597359735,0.794949494949495,0.5125000000000001,0.6215384615384615,0.5885928423705336,"{'C': 100.0, 'kernel': 'rbf'}"
larger Naive Bayes,5-fold,0.9402185792349728,0.8664285714285713,0.7422222222222221,0.792923976608187,0.7656537497987174,{'alpha': 0.001}
larger Naive Bayes,3-fold,0.916930693069307,0.7817460317460317,0.6611111111111111,0.7160493827160493,0.6711531333238984,{'alpha': 0.1}
larger XGBoost,5-fold,0.9070491803278689,0.858095238095238,0.4911111111111111,0.6125317819435467,0.5996625324232292,"{'eta': 0.3, 'max_depth': 5.0, 'n_estimators': 200.0}"
larger XGBoost,3-fold,0.8704290429042905,0.7018518518518518,0.3208333333333333,0.4342305037957212,0.4119443404593048,"{'eta': 0.3, 'max_depth': 7.0, 'n_estimators': 200.0}"
larger Random Forest,5-fold,0.8936612021857921,0.7795238095238095,0.4444444444444445,0.5635261797026503,0.5356066731629269,"{'n_estimators': 10, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}"
larger Random Forest,3-fold,0.8903960396039604,0.9027777777777778,0.3430555555555556,0.4877470355731225,0.5103247062305534,"{'n_estimators': 10, 'max_depth': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'entropy'}"
larger Decision Tree,5-fold,0.8869398907103825,0.720952380952381,0.5088888888888888,0.5896727111897391,0.5413470660590934,"{'criterion': 'entropy', 'max_depth': '300', 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}"
larger Decision Tree,3-fold,0.896963696369637,0.6804298642533938,0.6597222222222222,0.6671610431343468,0.6082714132962183,"{'criterion': 'entropy', 'max_depth': '30', 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'None'}"
